NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
754,19,38925970,2725,14264,0
664,18,33011840,2238,12464,0
553,23,27974837,3011,10404,0
639,10,32694566,3529,11890,0
632,17,31152188,2986,12080,0
748,18,38166321,1963,14304,0
764,16,38172184,3012,14430,0
794,14,38988008,2818,14863,0
774,30,37976307,2836,14708,0
601,21,29966791,2562,11562,0
593,29,29153366,2702,11419,0
775,28,38382410,2239,14695,0
747,19,38750706,2903,14070,0
708,27,34645654,2595,13302,0
679,24,33763173,2366,12881,0
621,23,31360440,2904,11693,0
527,16,26490888,2244,10021,0
762,14,37861335,2379,14530,0
762,24,38010437,2365,14547,0
708,28,35976969,2097,13587,0
512,29,25627019,2651,9762,0
797,29,42013210,2957,15241,0
513,25,26044963,2191,9697,0
700,20,36077306,2653,13228,0
642,21,32349364,2568,12314,0
592,16,29194133,2073,11150,0
593,27,29330271,2373,11224,0
637,28,32831326,2825,12338,0
618,23,30169158,2713,11664,0
591,19,29618276,2386,11194,0
544,24,27886427,3066,10392,0
620,17,30857180,2591,11755,0
786,28,39421604,2507,14896,0
797,20,39624516,2740,15157,0
563,30,27287677,2923,10638,0
612,21,30855497,2621,11590,0
504,27,25331687,3059,9808,0
753,28,37921769,2689,14435,0
781,10,39413083,2879,14803,0
582,11,28881157,2627,11132,0
662,24,34196387,2726,12622,0
665,27,32511532,1979,12790,0
617,17,31324519,2493,11824,0
542,15,26598618,2854,10312,0
527,15,25744359,1964,9924,0
638,19,31282472,2394,11919,0
766,10,37642677,2421,14654,0
625,20,30590939,3139,11858,0
727,24,37191155,2701,13753,0
519,13,26372003,2686,9852,0
737,17,36293835,2848,13995,0
563,22,28695596,2633,10482,0
714,22,35624078,2721,13497,0
751,30,38815457,2485,14039,0
554,18,28623084,2774,10726,0
718,27,35060924,3179,13654,0
723,12,35887982,3150,13669,0
672,16,32544689,2649,12671,0
575,27,28672469,2654,10983,0
515,23,24405400,2429,9852,0
780,26,37374327,2426,14644,0
657,27,32898179,2534,12245,0
636,26,32111250,2928,11943,0
657,22,32835411,2568,12406,0
560,13,27803998,2799,10589,0
755,15,37112483,2157,14175,0
775,12,39439744,2779,14885,0
575,27,27451654,1940,10981,0
607,23,31373334,2255,11273,0
579,22,28435042,2303,10894,0
518,25,26104252,2360,9882,0
517,20,25127865,2365,9670,0
678,16,33819801,2999,12960,0
782,13,39349733,2308,14751,0
742,12,38857018,2531,14249,0
512,15,25183624,2724,9736,0
695,30,34570335,2703,13360,0
570,23,29258661,2544,10951,0
790,27,40080441,2518,14878,0
792,13,39211808,2268,15036,0
693,13,33893288,1844,13186,0
571,22,28669481,2479,10699,0
546,26,27729053,2732,10381,0
588,13,29918048,2628,11058,0
635,21,30701468,2326,11929,0
540,10,25883708,2067,10362,0
508,18,23686249,2352,9569,0
623,25,30661455,2681,11716,0
543,22,27677387,2211,10219,0
579,17,28767677,2652,10895,0
783,12,38662552,2689,14797,0
542,20,26548687,2726,10316,0
711,21,34957055,2346,13744,0
777,24,39293496,2329,14898,0
622,18,30649932,2532,11646,0
625,23,30919421,2444,11701,0
755,20,38486724,2579,14464,0
733,12,37269500,2922,14231,0
662,11,32703469,2992,12447,0
703,23,35008084,2257,13617,0
711,26,34741415,2492,13665,0
638,15,32905364,2598,12283,0
742,29,35952906,2189,14264,0
526,19,26915986,2909,9941,0
740,19,36528563,2340,13983,0
761,22,37404474,2284,14512,0
726,18,35238976,2337,13791,0
507,24,25532753,2688,9512,0
722,10,35115109,2481,13748,0
574,27,29129493,2388,10897,0
800,28,40344732,2580,15240,0
738,20,36978437,2207,13920,0
627,26,32221881,2477,11875,0
693,18,33873002,2350,13181,0
518,19,25764611,2268,9828,0
501,28,24307068,2721,9483,0
718,28,35506151,2412,13619,0
782,10,40088332,2396,14848,0
544,12,26745400,2602,10433,0
616,15,29821279,3112,11843,0
606,18,30315969,2898,11664,0
696,19,34641354,2562,13220,0
659,13,33185459,2805,12324,0
550,14,27522393,2203,10629,0
785,29,38125319,2327,14905,0
505,27,25284733,2284,9529,0
580,21,29193362,2714,11124,0
754,15,37313945,2179,14260,0
636,23,32493032,2143,12143,0
516,15,25455208,3027,9744,0
742,19,37522094,2240,14065,0
530,13,27283938,1924,10058,0
716,11,36368104,1939,13620,0
613,15,30287180,2090,11436,0
747,12,38131517,2298,14280,0
733,28,36131256,2623,13913,0
721,17,35658775,2547,13883,0
582,30,29756439,2773,11123,0
631,29,32711018,2443,12069,0
623,28,31860718,2310,11845,0
624,16,31984195,1882,11616,0
628,21,31911848,2212,12013,0
698,18,33340027,2896,13110,0
664,10,34178926,2580,12428,0
756,26,37253747,2399,14172,0
633,18,33186894,2664,12125,0
506,20,25927280,2344,9452,0
728,21,36252992,2120,13807,0
556,30,28070345,2653,10645,0
768,27,37421057,1678,14892,0
582,11,27793350,1881,10925,0
755,23,36866627,1936,14257,0
669,11,34362939,2483,12632,0
686,15,34051302,2873,12994,0
729,12,35866569,2404,13874,0
635,25,30758511,2180,12148,0
571,23,28002865,2591,10629,0
588,29,29215961,2873,11173,0
541,30,26256740,2659,10378,0
547,27,26995069,1949,10528,0
594,30,29782829,2079,11331,0
620,27,29839610,2043,11818,0
549,10,26751627,2367,10170,0
728,22,36108115,2457,13903,0
674,24,34264333,2371,12724,0
530,11,25998915,2648,10008,0
683,20,33716103,2494,13083,0
694,12,34992378,3008,13136,0
712,15,34926619,1890,13413,0
686,27,34037708,2571,13128,0
754,10,38692303,2199,14256,0
661,15,32664623,2095,12530,0
516,10,25828982,2769,9687,0
691,15,35576899,2342,13139,0
690,15,36348915,2154,13051,0
513,24,25787299,2921,9705,0
612,15,29803610,1824,11551,0
745,23,36589023,2479,14168,0
642,14,31687776,3031,12227,0
530,15,26797365,2547,9987,0
695,13,35323019,2358,13113,0
690,11,34561702,3157,13040,0
675,16,34448985,3017,12823,0
619,23,31258791,2505,11657,0
708,17,35237754,1900,13195,0
568,12,28769457,2557,10724,0
571,28,29168268,2425,10923,0
796,14,39609485,2356,14943,0
724,24,36285975,2504,13806,0
641,10,32678931,2710,12196,0
536,29,27224023,1969,10379,0
700,26,34757786,2047,13342,0
719,12,37140577,1902,13544,0
672,26,33017222,2633,12775,0
763,16,37703971,2617,14690,0
689,19,34861096,2991,12980,0
787,17,40493997,2097,14766,0
707,14,35564485,3060,13555,0
730,15,36139219,2439,14043,0
505,15,25147863,2451,9551,0
532,25,27045693,3088,10107,0
742,18,37212067,2814,14157,0
654,26,32671476,2468,12371,0
766,25,38409443,2786,14583,0
694,28,35614088,2224,13268,0
785,10,38997384,2570,14921,0
651,24,33375161,2455,12431,0
713,11,35534439,3533,13443,0
780,16,39767671,2532,14873,0
517,17,26718111,2705,9744,0
500,26,25296324,2486,9448,0
740,12,36824792,2274,14056,0
640,13,31791217,2225,12142,0
622,15,30099242,2235,11696,0
726,19,35780712,3439,13753,0
521,17,26905074,2118,9955,0
564,22,28215615,2952,10600,0
787,15,40111068,2218,14815,0
641,25,31738058,2310,12211,0
531,26,26142078,2511,9991,0
628,23,29979379,1910,11916,0
531,20,26561841,2929,10126,0
800,26,40026829,2515,15252,0
652,10,32594602,1660,12336,0
708,14,35231756,1276,13446,0
545,20,27559571,1978,10293,0
510,29,24896432,2141,9739,0
713,13,35031670,3115,13694,0
797,28,39936465,2823,15057,0
738,22,37569673,2218,13918,0
573,29,28748739,2552,10786,0
724,13,36388403,2606,13651,0
675,12,33956152,2886,12637,0
516,28,24746874,2705,9948,0
784,16,38743875,2876,15053,0
741,28,36029811,2562,14218,0
702,24,35595156,2542,13277,0
538,18,26484501,2081,10350,0
600,17,29816496,1963,11575,0
532,24,26144540,2699,10204,0
708,29,35519583,1949,13295,0
