NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
514,11,25935926,2620,9961,1
670,11,34950638,2235,12742,0
712,23,36208050,2514,13401,0
656,24,33952534,2489,12297,1
653,11,32654100,2743,12412,5
734,25,38085689,2585,13745,0
618,27,29841988,2295,11707,0
584,10,28714934,3648,11179,1
573,29,28762910,2375,10970,0
507,23,24936583,2302,9596,0
698,28,34536354,2935,13220,0
513,17,25114375,2668,9696,0
749,12,35701312,2571,14192,0
738,23,37642005,2788,13881,2
565,30,27991258,2383,10759,1
769,25,39140733,2533,14691,2
734,16,37811193,2588,14001,0
599,29,29158545,2564,11362,0
573,20,30126058,2934,10861,4
657,21,31857234,2771,12465,0
707,23,34969031,2919,13466,1
552,29,27528911,2133,10534,0
570,20,29214008,2277,10792,0
722,13,36826537,2553,13840,1
518,19,26402621,1455,9778,1
767,30,37717106,2466,14501,4
624,18,30985074,2964,11736,2
740,13,37442935,2279,14096,2
561,16,27998941,2441,10582,1
523,10,24549956,3253,10069,0
584,14,28660625,2747,11054,1
535,18,28109834,2200,9890,0
527,15,26482818,2788,10057,0
598,25,29769602,2354,11264,0
783,17,40341364,2561,14836,4
577,30,28150827,2565,10868,1
540,20,27094677,2195,10354,1
543,18,26602059,2644,10261,1
533,25,26767933,2848,10217,1
678,25,34690330,2605,12800,2
581,26,28991056,2421,11004,0
525,21,25630603,2136,10133,0
643,20,31767472,2270,12271,0
704,15,34428931,2893,13268,1
753,14,36824545,2963,14380,4
583,11,29433854,2629,10919,0
564,20,27405828,2936,10528,2
519,14,25822747,2650,9969,4
712,16,35118890,1831,13366,5
655,29,32812347,2368,12557,1
788,25,39028864,2215,15045,0
729,18,37617593,1906,13835,1
661,19,32595962,2507,12509,4
769,20,39100693,2371,14518,0
553,22,26791525,3152,10524,0
741,15,35841987,2378,14235,5
717,19,38035625,1668,13660,1
587,10,28988665,2863,11250,0
597,29,31364097,1984,11128,1
795,19,40371666,2598,15076,0
672,25,32860261,2091,12802,0
767,29,38754160,2468,14371,1
776,15,40455377,2486,14591,5
539,24,27112905,2777,10033,2
663,18,33786411,2034,12444,0
622,16,32109032,2898,11920,0
544,25,27481514,2382,10261,5
724,30,35489653,2469,13813,0
695,30,34418870,2695,13033,1
502,26,24293118,2118,9562,0
659,24,33843739,2721,12555,2
538,23,27844055,2416,10157,2
550,10,27801896,1832,10247,1
774,19,38498038,2534,14694,2
785,17,38888549,2202,14979,0
580,16,28472078,2128,10877,4
745,15,35795513,2881,14232,4
542,25,27396204,2351,10363,1
762,12,37509863,2674,14385,0
637,13,31647926,2155,12192,2
528,20,25571028,2532,10157,0
720,18,36453103,2551,13556,4
786,17,38876042,2931,14895,1
758,15,36818400,2720,14332,0
507,25,25505985,2176,9447,1
540,15,26851590,2257,10261,2
529,19,26430406,2287,10061,2
604,20,29578758,2933,11499,0
562,23,28138688,2281,10596,1
570,26,30024039,2370,10726,2
785,29,39275239,2274,15002,0
546,24,27282868,2388,10472,0
579,26,30532781,2303,11064,0
698,12,33186018,2737,13296,1
657,24,32115122,2505,12481,0
545,16,27954944,2241,10427,0
749,17,38324250,2737,14435,0
618,14,30817130,2751,11956,2
682,30,34308466,2632,12908,0
606,29,29884015,2180,11592,5
504,27,25604662,2688,9489,0
632,19,30400105,1887,12005,4
539,25,27399568,2731,10206,1
645,23,32486951,2980,12320,1
728,18,34739604,2492,13787,0
636,27,31966958,2402,12349,1
749,16,37076325,2053,14280,1
786,23,40022393,2534,14969,0
714,13,35767901,2765,13716,1
601,26,29180810,3114,11426,2
761,11,38298061,2839,14611,1
739,21,36435047,2507,14022,2
697,14,33978480,2657,13098,0
778,30,40028283,2546,14930,1
568,29,28277167,1850,10730,0
686,11,35461997,2475,13135,0
510,13,25751134,2756,9617,2
773,26,38175470,2179,14588,4
571,13,29560293,2019,10831,0
621,22,31381183,2381,11564,0
507,30,25510046,2681,9631,0
765,18,39454735,2799,14593,4
765,28,38990131,2438,14542,2
634,16,31350202,2610,12038,0
668,12,33227560,2688,12653,0
604,24,30815999,2219,11330,1
794,20,40442529,2080,15211,1
793,26,40002912,2066,15076,1
772,30,39030157,2170,14590,0
661,22,31963769,2704,12208,1
