NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
778,30,40028283,2546,14930,1
568,29,28277167,1850,10730,0
686,11,35461997,2475,13135,0
510,13,25751134,2756,9617,2
773,26,38175470,2179,14588,4
571,13,29560293,2019,10831,0
621,22,31381183,2381,11564,0
507,30,25510046,2681,9631,0
765,18,39454735,2799,14593,4
765,28,38990131,2438,14542,2
634,16,31350202,2610,12038,0
668,12,33227560,2688,12653,0
604,24,30815999,2219,11330,1
794,20,40442529,2080,15211,1
793,26,40002912,2066,15076,1
772,30,39030157,2170,14590,0
661,22,31963769,2704,12208,1
629,14,31956584,2858,11889,4
580,15,29483774,2976,10983,0
787,24,38821686,2520,14843,0
654,10,32857855,2227,12453,0
678,29,33881779,2887,12886,0
620,13,30806188,2734,11785,0
681,22,34672202,3022,12767,4
500,21,25491894,3208,9370,0
798,28,39082948,2707,14957,0
768,19,37945327,1831,14612,0
671,17,32941920,2466,12566,1
650,14,32121712,2762,12315,2
739,16,37294003,2162,13986,0
623,15,31148091,2170,11942,5
710,27,35984144,2313,13411,0
505,12,26037481,1852,9439,0
543,17,27339512,2484,10259,0
625,29,32176567,2721,11979,3
619,28,29994126,2294,11543,0
774,17,38068921,2759,14784,0
645,30,32190689,2405,11971,1
760,12,38345615,2941,14307,0
643,18,31890627,2435,12136,0
708,24,35476495,2695,13306,1
591,11,29466657,2560,11123,2
737,21,36487644,2258,14070,1
600,18,29763424,2643,11559,5
615,18,32058047,3002,11650,1
739,22,38901988,1986,14023,2
684,27,33274685,2274,12808,5
558,18,26823708,2131,10514,1
524,29,26643160,2480,9920,0
791,28,40236918,2240,15099,1
665,15,31612521,1994,12541,2
797,30,40812132,2711,15304,3
762,22,39296989,2525,14269,0
509,30,24703000,2655,9501,3
576,30,29070666,2750,10984,1
528,10,26701642,3471,9898,0
546,28,27785615,2462,10356,4
554,21,27289837,2146,10486,0
568,20,27885127,2550,10772,0
750,18,37025002,2019,14155,0
623,10,31260942,2340,11782,0
664,19,32075374,2517,12631,5
699,19,35126329,3035,13158,0
612,17,29521898,2402,11508,0
716,25,36095287,2428,13678,0
706,15,35517642,1640,13377,1
767,18,39647959,2451,14593,1
666,26,32978872,2528,12685,0
662,20,34435931,3206,12400,5
633,21,31887233,2321,12017,2
691,12,34922105,2557,13149,0
665,20,32308281,2678,12568,0
597,27,29903418,2376,11153,1
557,16,28222688,2947,10548,3
604,11,29615719,2889,11635,4
756,15,37714454,3046,14121,1
780,17,38892528,2267,14746,4
693,10,35708616,3157,13121,2
749,12,36912381,2167,14271,2
703,16,33951839,2500,13264,1
684,23,33723932,2606,12923,1
508,28,24543162,2460,9650,1
648,21,33659167,2699,12141,1
671,25,33197738,2464,12933,0
576,15,28784400,2671,10904,1
667,11,33913701,2274,12616,0
563,24,28442037,2637,10587,0
500,11,25006118,2434,9596,0
602,19,30182869,2845,11472,5
609,28,29310561,2880,11600,1
600,18,29734590,2952,11364,2
699,20,35786786,2364,13158,0
578,25,29192822,2503,11036,5
709,29,36206776,2665,13542,1
594,13,30721196,2500,11304,0
618,24,30852982,2789,11676,0
747,30,37077762,1976,14080,0
