NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
742,25,37903794,2934,14094,0
528,16,25942612,2336,9984,0
701,29,35900770,2350,13251,0
784,15,38059163,2072,15006,0
563,18,27170838,2972,10783,2
612,27,31755024,2217,11453,0
685,21,34609284,2715,13162,5
739,11,35471888,2507,14130,0
796,11,40051543,3294,15354,4
612,17,31543598,2472,11575,0
603,30,30809710,2708,11459,0
588,29,29427921,2518,11111,2
634,25,31538376,2231,12017,2
654,10,33394180,2751,12287,1
627,13,31012121,2516,11689,1
564,30,26039818,2812,10714,1
585,17,29979254,2233,11177,1
595,11,28635916,1942,11115,1
546,10,27295559,2162,10386,4
676,11,33414619,3001,13062,2
543,11,25945905,2855,10224,0
617,25,31334839,2248,11941,0
660,17,33153631,2602,12518,0
777,17,38906050,2330,14490,0
743,28,36719040,2316,14203,0
634,25,30734977,2253,12150,4
698,10,33547354,2022,13079,0
521,19,25916573,2274,9962,2
584,16,29258048,3223,11210,0
651,10,32168786,1953,12381,2
595,28,29822045,3124,11405,2
742,17,36846520,2719,13992,0
768,20,38171983,2898,14642,1
595,22,28313628,2618,11102,4
717,18,35586152,2368,13455,0
640,15,32611095,2261,12176,0
646,27,32440710,2295,12373,0
697,23,35538472,1855,13243,0
669,28,33274633,2698,12582,0
502,14,25563826,2529,9528,1
643,13,31415026,2389,12449,0
554,25,27994537,2573,10407,0
559,23,28392326,3150,10670,1
561,19,29550739,3041,10819,2
797,13,39425407,2478,14998,2
594,14,30258612,2699,11232,0
679,20,35024720,2513,12811,2
748,18,37781829,2539,14104,5
502,26,25095133,2377,9598,0
676,25,34569171,2283,12779,0
756,12,38095633,2775,14485,0
566,22,29039816,2373,10937,5
791,14,39745802,2678,14923,2
772,22,37529087,2722,14835,0
568,22,27623540,2721,10742,5
565,10,27991397,3502,10687,2
730,30,37456706,2361,13793,0
583,23,30366010,2056,10799,0
591,13,29730444,2845,11178,2
515,23,25766118,3026,9800,5
638,10,31274634,3330,12072,1
595,21,30801380,2469,11354,2
655,30,32030826,2510,12384,0
696,16,35300815,3325,13283,4
680,25,33799257,2457,12932,0
572,19,29378157,2807,10797,0
519,27,24846781,2663,9789,0
539,29,26708365,2649,10309,2
509,23,24280987,2779,9523,1
604,20,30422181,2677,11358,5
727,13,37822002,2354,13637,0
657,26,33040577,2892,12514,1
709,16,34805983,2336,13600,0
782,11,39870288,2770,14979,1
510,25,25167243,2832,9665,0
649,20,33433525,2188,12252,0
583,25,29955285,2542,11144,0
625,28,30961439,2417,11919,0
606,24,29606817,2779,11448,5
767,25,39057682,3265,14603,0
548,29,26930556,2447,10410,1
705,10,35251368,2789,13505,1
644,12,32907652,2159,12421,1
731,18,34930326,2408,13748,1
718,16,34659571,2237,13700,4
585,14,28598361,2381,11041,0
653,15,31474533,2478,12478,0
674,14,34022372,1854,12701,0
734,15,37783543,2622,13880,1
743,20,36991218,2610,14099,0
769,19,38587366,2404,14461,0
648,20,33159371,2731,12440,0
611,10,30121214,2134,11567,0
536,12,27360577,2732,10093,2
782,23,39008901,2755,14986,2
542,24,27296332,2428,10122,0
585,22,30442703,2316,11056,0
582,15,28146222,2306,11106,0
514,19,24584043,2874,9702,1
719,25,35348708,2916,13707,5
577,18,29112955,2467,10853,4
614,16,30261316,2286,11699,0
657,10,32826695,2225,12555,2
766,14,40046757,2396,14732,3
580,25,28472238,2267,10685,1
709,20,36444962,2703,13355,2
658,11,33318357,3082,12432,2
703,20,35739191,2511,13302,1
788,19,39092206,2312,14623,0
510,18,26006758,2589,9664,1
771,19,37426881,2959,14757,1
500,10,25817062,3245,9536,0
752,16,37685702,2787,14291,1
683,19,33798580,2659,13159,2
703,21,35815423,2125,13368,2
625,26,30373156,2468,11670,5
589,28,29664912,2361,11055,1
723,17,36036933,1466,13785,1
547,23,27156120,2247,10308,4
763,20,38731464,2606,14458,0
721,21,35667085,2015,13535,1
569,14,28565450,3013,10884,0
786,22,40823627,2462,14944,1
672,27,34436881,2620,12743,1
755,27,37191718,2665,14266,0
581,15,28578442,2340,10856,1
749,24,38014356,2498,14139,0
537,16,27751177,2912,10267,4
754,10,37450053,2874,14305,4
501,13,26253630,2138,9374,0
616,27,30244565,2519,11702,1
714,11,35857317,2556,13595,5
625,29,31396638,2201,11900,0
787,26,38723978,3070,14885,0
509,24,25857747,2321,9691,0
